"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"238,462,521","+131,520","4,865,002","+2,630","215,616,007","+153,638","17,981,512","82,619","30,593",624.1,,,,All,"
",,,,,
USA,"45,179,209",,"733,058 ",,"34,630,654",,"9,815,497","17,157","135,482","2,198","657,102,757","1,970,506","333,468,970 ",North America,7,455,1,,,"29,435"
India,"33,953,475","+1,200","450,621 ",,"33,271,915","+7,619","230,939","8,944","24,300",323,"582,595,693","416,963","1,397,235,287 ",Asia,41,"3,101",2,0.9,,165
Brazil,"21,567,181",,"600,880 ",,"20,670,348",,"295,953","8,318","100,556","2,802","63,776,166","297,354","214,479,029 ",South America,10,357,3,,,"1,380"
UK,"8,120,713",,"137,697 ",,"6,619,618",,"1,363,398",808,"118,830","2,015","311,519,071","4,558,427","68,339,166 ",Europe,8,496,0,,,"19,950"
Russia,"7,775,365","+28,647","216,415 ",+962,"6,858,119","+17,274","700,831","2,300","53,251","1,482","196,800,000","1,347,816","146,014,021 ",Europe,19,675,1,196,7,"4,800"
Turkey,"7,416,182",,"65,984 ",,"6,867,704",,"482,494",633,"86,748",772,"89,503,695","1,046,931","85,491,480 ",Asia,12,"1,296",1,,,"5,644"
France,"7,052,520",,"117,044 ",,"6,838,289",,"97,187","1,200","107,743","1,788","146,046,715","2,231,182","65,457,114 ",Europe,9,559,0,,,"1,485"
Iran,"5,702,890","+11,256","122,592 ",+222,"5,217,999","+16,484","362,299","5,304","66,812","1,436","32,619,228","382,147","85,357,709 ",Asia,15,696,3,132,3,"4,244"
Argentina,"5,265,528",,"115,458 ",,"5,131,279",,"18,791",971,"115,163","2,525","24,252,818","530,435","45,722,524 ",South America,9,396,2,,,411
Spain,"4,973,619",,"86,778 ",,"4,800,693",,"86,148",550,"106,324","1,855","65,473,038","1,399,660","46,777,803 ",Europe,9,539,1,,,"1,842"
Colombia,"4,970,718",,"126,585 ",,"4,813,675",,"30,458",342,"96,385","2,455","25,938,502","502,961","51,571,586 ",South America,10,407,2,,,591
Italy,"4,698,038",,"131,274 ",,"4,481,462",,"85,302",367,"77,848","2,175","95,061,127","1,575,196","60,348,769 ",Europe,13,460,1,,,"1,413"
Germany,"4,323,431",,"95,016 ",,"4,087,700","+5,600","140,715","1,336","51,393","1,129","73,348,901","871,909","84,124,457 ",Europe,19,885,1,,,"1,673"
Indonesia,"4,227,932",+894,"142,651 ",+39,"4,060,851","+1,584","24,430",,"15,252",515,"41,624,406","150,162","277,196,503 ",Asia,66,"1,943",7,3,0.1,88
Mexico,"3,720,545","+6,153","281,958 ",+348,"3,076,904","+6,435","361,683","4,798","28,477","2,158","10,896,583","83,401","130,652,960 ",North America,35,463,12,47,3,"2,768"
Poland,"2,922,401","+1,527","75,869 ",+5,"2,668,521","+1,090","178,011",226,"77,325","2,007","21,270,038","562,790","37,793,902 ",Europe,13,498,2,40,0.1,"4,710"
South Africa,"2,911,497",,"88,292 ",,"2,790,653",,"32,552",546,"48,317","1,465","17,960,260","298,056","60,257,979 ",Africa,21,682,3,,,540
Philippines,"2,666,562","+12,159","39,624 ",+119,"2,536,011","+27,727","90,927","3,194","23,930",356,"21,709,776","194,825","111,432,443 ",Asia,42,"2,812",5,109,1,816
Ukraine,"2,541,257","+11,344","58,493 ",+162,"2,290,427","+2,581","192,337",177,"58,555","1,348","13,253,584","305,386","43,399,511 ",Europe,17,742,3,261,4,"4,432"
Malaysia,"2,332,221",,"27,265 ",,"2,184,710",,"120,246",768,"70,905",829,"31,332,561","952,577","32,892,425 ",Asia,14,"1,206",1,,,"3,656"
Peru,"2,183,589",,"199,641 ",,N/A,N/A,N/A,917,"65,075","5,950","18,241,022","543,619","33,554,821 ",South America,15,168,2,,,"7,846"
Iraq,"2,023,761","+1,652","22,563 ",+26,"1,945,366","+3,531","55,832",313,"48,923",545,"15,409,353","372,508","41,366,541 ",Asia,20,"1,833",3,40,0.6,"1,350"
Netherlands,"2,023,691","+2,258","18,204 ",,"1,948,430","+2,685","57,057",133,"117,772","1,059","17,632,552","1,026,159","17,183,067 ",Europe,8,944,1,131,,"3,321"
Thailand,"1,710,884","+10,817","17,691 ",+84,"1,582,313","+9,981","110,880","3,324","24,433",253,"9,201,621","131,409","70,022,614 ",Asia,41,"3,958",8,154,1,"1,583"
Japan,"1,710,394",+777,"17,927 ",+25,"1,680,109","+1,782","12,358",483,"13,576",142,"25,374,183","201,408","125,984,033 ",Asia,74,"7,028",5,6,0.2,98
Czechia,"1,699,743",+665,"30,501 ",+2,"1,658,123",+9,"11,119",58,"158,348","2,841","38,828,806","3,617,286","10,734,237 ",Europe,6,352,0,62,0.2,"1,036"
Chile,"1,661,370",,"37,554 ",,"1,615,629",,"8,187",367,"85,972","1,943","22,325,502","1,155,287","19,324,633 ",South America,12,515,1,,,424
Canada,"1,657,262",,"28,195 ",,"1,587,026",,"42,041",776,"43,426",739,"44,186,056","1,157,840","38,162,478 ",North America,23,"1,354",1,,,"1,102"
Bangladesh,"1,562,359",+481,"27,688 ",+14,"1,523,833",+699,"10,838","1,443","9,368",166,"9,952,196","59,675","166,773,109 ",Asia,107,"6,023",17,3,0.08,65
Romania,"1,356,640","+10,400","39,420 ",+211,"1,174,783","+2,644","142,437","1,603","71,124","2,067","13,472,015","706,287","19,074,423 ",Europe,14,484,1,545,11,"7,467"
Israel,"1,305,039",+489,"7,904 ",+2,"1,268,810","+1,518","28,325",463,"139,936",848,"27,637,623","2,963,502","9,326,000 ",Asia,7,"1,180",0,52,0.2,"3,037"
Belgium,"1,261,102",,"25,675 ",,"1,175,391",,"60,036",195,"108,214","2,203","20,397,783","1,750,323","11,653,725 ",Europe,9,454,1,,,"5,152"
Pakistan,"1,257,955",+767,"28,106 ",+19,"1,187,308","+1,559","42,541","2,540","5,558",124,"19,867,632","87,781","226,331,580 ",Asia,180,"8,053",11,3,0.08,188
Sweden,"1,157,822",,"14,864 ",,"1,123,142","+1,481","19,816",29,"113,743","1,460","12,743,845","1,251,940","10,179,279 ",Europe,9,685,1,,,"1,947"
Portugal,"1,074,813",,"18,034 ",,"1,026,795",,"29,984",55,"105,800","1,775","18,919,326","1,862,341","10,158,897 ",Europe,9,563,1,,,"2,952"
Serbia,"1,000,365",,"8,683 ",,"863,479",,"128,203",285,"115,082",999,"5,839,285","671,753","8,692,606 ",Europe,9,"1,001",1,,,"14,749"
Morocco,"938,801",,"14,442 ",,"917,169",,"7,190",347,"25,057",385,"9,804,658","261,695","37,466,019 ",Africa,40,"2,594",4,,,192
Cuba,"914,779",,"7,812 ",,"888,833",,"18,134",320,"80,826",690,"9,925,461","876,976","11,317,825 ",North America,12,"1,449",1,,,"1,602"
Kazakhstan,"903,924","+1,863","11,530 ",+41,"846,012","+2,358","46,382",221,"47,421",605,"11,575,012","607,234","19,061,857 ",Asia,21,"1,653",2,98,2,"2,433"
Switzerland,"848,416",,"11,133 ",,"790,942",,"46,341",152,"97,128","1,275","11,112,913","1,272,224","8,735,030 ",Europe,10,785,1,,,"5,305"
Vietnam,"839,662","+3,528","20,555 ",+113,"782,199","+21,398","36,908",,"8,529",209,"42,517,091","431,860","98,450,987 ",Asia,117,"4,790",2,36,1,375
Jordan,"832,399",,"10,802 ",,"807,994",,"13,603",451,"80,567","1,046","10,313,951","998,275","10,331,771 ",Asia,12,956,1,,,"1,317"
Hungary,"827,410",,"30,275 ",,"788,014",,"9,121",100,"85,928","3,144","7,032,329","730,316","9,629,155 ",Europe,12,318,1,,,947
Nepal,"802,198",+565,"11,231 ",+10,"775,943",+871,"15,024",,"26,918",377,"4,288,938","143,917","29,801,538 ",Asia,37,"2,654",7,19,0.3,504
Austria,"761,218","+1,675","11,096 ",+6,"730,020","+1,833","20,102",224,"83,911","1,223","90,377,770","9,962,610","9,071,696 ",Europe,12,818,0,185,0.7,"2,216"
UAE,"737,766",+111,"2,113 ",,"731,113",+191,"4,540",,"73,467",210,"86,969,853","8,660,511","10,042,116 ",Asia,14,"4,753",0,11,,452
Tunisia,"709,456",,"24,996 ",,"681,539",,"2,921",205,"59,241","2,087","2,985,601","249,306","11,975,662 ",Africa,17,479,4,,,244
Greece,"675,479",,"15,105 ",,"633,331",,"27,043",331,"65,211","1,458","21,841,498","2,108,600","10,358,292 ",Europe,15,686,0,,,"2,611"
Georgia,"634,053","+2,490","9,246 ",+25,"600,524","+2,056","24,283",,"159,333","2,323","9,279,051","2,331,754","3,979,429 ",Asia,6,430,0,626,6,"6,102"
Lebanon,"629,561",,"8,382 ",,"602,715",,"18,464",200,"92,766","1,235","4,780,275","704,373","6,786,566 ",Asia,11,810,1,,,"2,721"
Guatemala,"578,809",,"13,986 ",,"544,963",,"19,860",5,"31,567",763,"2,671,803","145,714","18,335,902 ",North America,32,"1,311",7,,,"1,083"
Belarus,"557,772","+1,979","4,289 ",+14,"533,121","+1,935","20,362",,"59,052",454,"8,860,488","938,077","9,445,371 ",Europe,17,"2,202",1,210,1,"2,156"
Saudi Arabia,"547,591",+59,"8,745 ",+2,"536,626",+41,"2,220",139,"15,424",246,"29,382,555","827,634","35,501,850 ",Asia,65,"4,060",1,2,0.06,63
Costa Rica,"544,021",,"6,612 ",,"454,977",,"82,432",419,"105,570","1,283","2,393,237","464,418","5,153,200 ",North America,9,779,2,,,"15,996"
Sri Lanka,"525,663",,"13,296 ",,"479,629",,"32,738",,"24,418",618,"4,950,195","229,949","21,527,355 ",Asia,41,"1,619",4,,,"1,521"
Bulgaria,"520,241",,"21,616 ",,"448,224",,"50,401",469,"75,596","3,141","4,961,010","720,878","6,881,895 ",Europe,13,318,1,,,"7,324"
Ecuador,"511,699",,"32,836 ",,"443,880",,"34,983",759,"28,455","1,826","1,866,212","103,776","17,983,029 ",South America,35,548,10,,,"1,945"
